ID,Plant Name,Variety Name,Scientific Name,Plant Family,Plant Type,Growth Habit,Origin/Heirloom Status,Organic,Seed Company/Source,Year Acquired,Seed Size,Seed Longevity,Germ Temp (Min),Germ Temp (Max),Germ Temp (Ideal),Germ Time (Days),Light Req for Germ,Stratification Req,Scarification Req,Sowing Depth,Spacing - In Row,Spacing (Low),Spacing (High),Direct Seedable,Transplantable,Days to Transplant (Low),Days to Transplant (High),Time to Maturity,Mature Plant Height,Mature Plant Spread,Sunlight Req,Water Needs,Fertilizer Needs,Pest Resistance,Disease Resistance,Cold Hardiness,Heat Tolerance,Drought Tolerance,Bolting Tendency,Support Required,Pruning Required,Harvest Window (Low),Harvest Window (High),Typical Yield,Yield Units,Storage Life,Requires Pollinator,Notes/Observations,URL,Weekly Yield
,Galangal,,Alpinia galanga,Zingiberaceae,Perennial,Rhizomatous,Heirloom,,Specialty Nurseries,,Rhizome,N/A,70,90,80,21-35,Darkness,No,No,2-3in,18-24in,18,24,"No, from rhizome",Yes (rhizome),,,,270-360 days,4-6ft,2-3ft,Full Sun-Partial Shade,High,High,High,High,Frost Tender,Very High,Moderate,Low,No,Single harvest (Fall),,,45660,lbs/plant,Long,No (Asexual reproduction),Related to ginger and turmeric with a sharp,0
,Garden Huckleberry,,Solanum nigrum var. guineense,Solanaceae,Annual,Bush,"Open-pollinated, Heirloom",,General,,Very Small,3-5 years,65,80,75,45950,Darkness,No,No,0.25in,18-24in,18,24,Yes,Yes,42,56,75-90 days,2-3ft,2-3ft,Full Sun,Moderate,Low,High,High,Frost Tender,High,High,Low,No,No,,,Continuous,berries,Short,No (Self-pollinating),Berries are mildly toxic raw; must be cooked to be edible.,,[0.5;1;1.5;1.5;1;0.5]
,Garlic,Softneck varieties,Allium sativum,Amaryllidaceae,Perennial (grown as annual),Bulb,Heirloom,,General,,Clove,N/A,40,60,50,N/A,N/A,Yes (vernalization),No,2-3in,4-6in,4,6,"No, from clove",Yes (from clove),,,,240-270 days,1-2ft,0.5-1ft,Full Sun,Moderate,Moderate,High,High,Very Hardy,Moderate,Moderate,Low,No,Single harvest,,,1,bulb/plant,Very Long,No (Asexual reproduction),Plant in fall for summer harvest.,0
,Ginger,,Zingiber officinale,Zingiberaceae,Perennial,Clumping,Heirloom,,Grocery Store/Specialty,,Rhizome,N/A,70,85,75,21-35,Darkness,No,No,1-2in,6-12in,6,12,"No, from rhizome",Yes (from rhizome),,,,240-300 days,2-4ft,1-2ft,Partial Shade-Full Sun,High,High,Low,Low,Frost Tender,High,Moderate,Low,No,Single harvest,,,45659,lbs/plant,Long,No (Asexual reproduction),Plant rhizomes with buds pointing up.,[1.5]
,Gotu Kola,,Centella asiatica,Apiaceae,Perennial,Sprawling,Heirloom,,Specialty Nurseries,,Small,1-2 years,70,90,80,14-28,Light,No,No,Surface,6-12in,6,12,Yes,Yes,28,42,60-90 days,0.5ft,1-2ft,Partial Shade,Very High,Low,High,High,Frost Tender,Very High,High,Low,No,No,,,Continuous,leaves,Short,No (Self-pollinating),Loves boggy, wet conditions.,[0.25;0.25;0.25;0.25]
,Goya (Okinawan Bitter Melon),,Momordica charantia,Cucurbitaceae,Annual,Vining,Open-pollinated,,Asian Seed Suppliers,,Medium-Large,2-3 years,75,90,85,45946,Darkness,No,No,0.5-1in,24-36in,24,36,Yes,"Yes, with care",28,42,60-90 days,6-15ft,3-6ft,Full Sun,Moderate-High,Moderate,Moderate,Moderate,Frost Tender,High,High,Low,"Yes, trellis required",Yes (pruning optional),,,45960,fruits/plant,Medium,Yes (bees required),A variety of bitter melon popular in Okinawan cuisine.,,[0.5;1;1.5;1.5;1.5;1;0.5]
,Ground Cherry,Aunt Molly's Ground Cherry,Physalis pruinosa,Solanaceae,Annual,"Bush, Sprawling",Heirloom,,General,,Small,3-5 years,65,80,75,45859,Darkness,No,No,0.25in,24-36in,24,36,"No, transplant recommended",Yes,42,56,70-90 days,2-3ft,2-3ft,Full Sun,Moderate,Low,Moderate,Moderate,Frost Tender,High,High,Low,No (can be staked),Yes (optional),,,Continuous,"fruits, collect dropped",Medium,No (Self-pollinating),Sweet fruits ripen inside a papery husk and drop to the ground.,,[0.25;0.5;0.5;0.5;0.25]
,Hyacinth Bean,Ruby Moon,Lablab purpureus,Fabaceae,Annual (perennial in Zone 10),Vining,Heirloom,,General,,Medium,2-3 years,65,85,75,45950,Darkness,No,Yes (soaking),1in,6-12in,6,12,Yes,"Yes, with care",21,28,60-90 days,10-20ft,3-6ft,Full Sun,Moderate,Low,High,High,Frost Tender,Very High,High,Low,"Yes, sturdy trellis",No,,,45693,lbs/plant,Short,No (Self-pollinating),Cook mature, dry beans thoroughly; raw dry beans are toxic.,[0.5;1;1.5;1.5;1;0.5]
,Jalapeno Pepper,,Capsicum annuum,Solanaceae,Annual,Bush,"Open-pollinated, Heirloom",,General,,Medium,2-4 years,70,85,80,45951,Darkness,No,No,0.25in,18-24in,18,24,"Yes, but transplanting recommended",Yes,42,56,70-100 days,2-3ft,1.5-2ft,Full Sun,Moderate,Moderate,Moderate,Moderate,Frost Tender,High,High,Low,"Yes, for heavy fruiting",No,,,45960,peppers/plant,Medium-Long,No (Self-pollinating),Spiciness can vary with growing conditions.,,[0.25;0.4;0.5;0.5;0.4;0.25]
,Jerusalem Artichoke,Sunchoke,Helianthus tuberosus,Asteraceae,Perennial,Upright,Heirloom,,General,,Tubers,N/A,50,70,60,N/A,N/A,No,No,4-6in (tubers),12-18in,12,18,"No, from tubers",Yes (tubers),,,,90-120 days,5-10ft,2-4ft,Full Sun,Moderate,Low,High,High,Very Hardy,High,Very High,Low,No,Long (Fall/Winter),,,45787,lbs/plant,Long,Yes (bees, for seed saving),0
,Kabu (Japanese Turnip),Hakurei,Brassica rapa var. rapifera,Brassicaceae,Annual,"Root, Leaf",Open-pollinated,,Asian Seed Suppliers,,Small,3-5 years,40,75,65,45757,Darkness,No,No,0.25-0.5in,3-6in,3,6,Yes,"Yes, with care",21,28,30-60 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Moderate,Low,High,No,No,,,45787,roots/plant,Short-Medium,No (Self-pollinating),Sweet and crisp, can be eaten raw like an apple.,0
,Kaga Futo Kyuri,,Cucumis sativus,Cucurbitaceae,Annual,Vining,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Medium-Large,3-5 years,65,90,85,45757,Darkness,No,No,0.5-1in,24-36in,24,36,Yes,"Yes, with care",21,28,60-80 days,6-10ft,3-6ft,Full Sun,High,Moderate,Moderate,Moderate,Frost Tender,Moderate,Low,High,"Yes, trellis required",No,,,45945,fruits/plant,Short,Yes (bees required),A traditional Japanese cucumber known for its large size.,,[1;2;2;1]
,Kaga Marunasu,,Solanum melongena,Solanaceae,Annual,Bush,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Medium,4-6 years,75,90,85,45852,Darkness,No,No,0.25in,24-36in,24,36,"No, transplant recommended",Yes,42,56,70-100 days,2-4ft,2-3ft,Full Sun,Moderate-High,Moderate,Moderate,Moderate,Frost Tender,High,Moderate,Low,"Yes, for heavy fruiting",No,,,45787,fruits/plant,Short,No (Self-pollinating),A round, purple traditional eggplant from Kaga province.,[1;1.5;1.5;1]
,Kale,Lacinato/Dinosaur,Brassica oleracea var. sabellica,Brassicaceae,Biennial (grown as annual),Upright,"Open-pollinated, Heirloom",,General,,Medium,4-5 years,45,85,70,45787,Darkness,No,No,0.25-0.5in,12-18in,12,18,Yes,Yes,28,42,50-70 days,1-3ft,1-2ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Very Hardy,Moderate,Moderate,Low,No,Yes (harvest bottom leaves),,,Continuous,leaves,Medium,Yes (bees, for seed saving),Flavor improves after a light frost.,[0.25;0.4;0.5;0.5;0.5;0.4;0.3;0.25]
,Kohlrabi,,Brassica oleracea var. gongylodes,Brassicaceae,Annual,Bush,"Open-pollinated, Hybrid",,General,,Small,3-5 years,45,85,70,45852,Darkness,No,No,0.25-0.5in,6-10in,6,10,Yes,Yes,28,35,45-60 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,High,High,Frost Tolerant,Low,Low,Low,No,No,,,1,bulb/plant,Medium,No (Self-pollinating),Harvest when bulb is 2-3 inches in diameter.,,0
,Komatsuna,Japanese Mustard Spinach,Brassica rapa var. perviridis,Brassicaceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Small,3-5 years,40,75,65,45787,Darkness,No,No,0.25-0.5in,4-6in,4,6,Yes,"Yes, with care",14,21,30-50 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,No,,,Continuous,leaves,Short,No (Self-pollinating),Very versatile green, tolerant of both heat and cold.,0
,Komochitamanegi,,Allium cepa,Amaryllidaceae,Perennial,Bulb,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Bulbs,N/A,50,75,65,N/A,N/A,No,No,1-2in,6-8in,6,8,"No, from bulbs",Yes (from bulbs),,,,90-120 days,1-2ft,0.5-1ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,High,Low,No,Long,,,Continuous,bulbs,Medium,No (Asexual reproduction),"A multiplier onion, producing a cluster of bulbs.",0
,Kujo Negi,,Allium fistulosum,Amaryllidaceae,Perennial,Clumping,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,1-2 years,50,75,65,45852,Darkness,No,No,0.25in,4-6in,4,6,Yes,Yes,21,28,60-80 days,1-2ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,High,High,Very Hardy,High,High,Low,No,Yes (harvest outer stalks),,,Continuous,stalks,Short,No (Self-pollinating),A clumping green onion (bunching onion) from Kyoto.,,0
,Kuroda Kinka Carrot,,Daucus carota subsp. sativus,Apiaceae,Biennial (grown as annual),Root,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,3-4 years,50,85,75,14-21,Darkness,No,No,0.25-0.5in,2-4in,2,4,Yes,"No, transplanting damages root",,,,70-80 days,1ft,0.5ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,Moderate,Low,No,Short-Medium,,,1,root/plant,Long,No (Self-pollinating),A sweet,0
,Kyo Karashi Na,,Brassica juncea,Brassicaceae,Annual,Rosette,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,3-5 years,40,75,65,45787,Darkness,No,No,0.25-0.5in,6-10in,6,10,Yes,"Yes, with care",14,21,30-50 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,No,,,Continuous,leaves,Short,No (Self-pollinating),A type of pungent mustard green from Kyoto.,,[0.2;0.4;0.2]
,Kyo Mitsuba,,Cryptotaenia japonica,Apiaceae,Perennial,Clumping,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,2-3 years,50,70,60,14-21,Darkness,No,No,0.25in,6-12in,6,12,Yes,Yes,28,42,60-90 days,1-2ft,0.5-1ft,Partial Shade,High,Low,Moderate,Moderate,Frost Tolerant,Low,Low,Medium,No,No,,,Continuous,stems/leaves,Short,No (Self-pollinating),A delicate variety of Mitsuba from Kyoto.,,[0.2;0.4;0.2]
,Kyona (Mizuna),,Brassica rapa var. nipposinica,Brassicaceae,Annual,Upright,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,3-5 years,40,75,65,45757,Darkness,No,No,0.25-0.5in,4-6in,4,6,Yes,"Yes, with care",14,21,20-40 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,Yes (cut-and-come-again),,,Continuous,leaves,Short,No (Self-pollinating),Traditional name for Mizuna in the Kyoto region.,,[0.15;0.2;0.2;0.15]
,Kyoto Kintoki Carrot,,Daucus carota subsp. sativus,Apiaceae,Biennial (grown as annual),Root,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,3-4 years,50,85,75,14-21,Darkness,No,No,0.25-0.5in,2-4in,2,4,Yes,"No, transplanting damages root",,,,90-100 days,1ft,0.5ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,Low,Moderate,Low,No,Short-Medium,,,1,root/plant,Long,No (Self-pollinating),A vivid red,0
,Lavender,English Lavender,Lavandula angustifolia,Lamiaceae,Perennial,Bush,Heirloom,,General,,Small,1-2 years,60,70,65,21-30,Light,Yes (cold),No,0.25in,18-24in,18,24,"No, cuttings easier",Yes,42,56,90-120 days (from transplant),2-3ft,2-3ft,Full Sun,Low,Low,High,High,Frost Tolerant,Very High,Very High,Low,No,Yes (pruning),,,Varies,flower spikes,Long,Yes (bees),Requires excellent drainage.,,[1;2;1]
,Leek,American Flag,Allium ampeloprasum,Amaryllidaceae,Biennial (grown as annual),Upright,"Open-pollinated, Hybrid",,General,,Small,1-2 years,50,75,65,14-21,Darkness,No,No,0.25in,4-6in,4,6,"No, transplant recommended",Yes,56,70,90-120 days,1-2ft,0.5ft,Full Sun,Moderate-High,High,High,High,Very Hardy,Moderate,Moderate,Low,No,Yes (blanching),,,1,stalk/plant,Medium,No (Self-pollinating),Blanch stems by mounding soil around them.,,0
,Lemongrass,,Cymbopogon citratus,Poaceae,Perennial,Clumping,Heirloom,,General,,"Rhizome, Cuttings",N/A,70,90,80,N/A,N/A,No,No,1-2in,12-24in,12,24,"No, from division/cuttings",Yes (from division/cuttings),,,,90-120 days,3-5ft,2-3ft,Full Sun,Moderate-High,Low-Moderate,High,High,Frost Tender,Very High,Moderate,Low,No,Long (continuous),,,45693,stalks/plant/harvest,Medium,No (rarely flowers),Easily propagated from store-bought stalks.,[1;1;1;1;1;1;1;1]
,Lettuce,Romaine,Lactuca sativa,Asteraceae,Annual,Upright,"Open-pollinated, Hybrid",,General,,Small,3-6 years,40,75,65,45848,Light,No,No,0.125-0.25in,6-12in,6,12,Yes,Yes,21,28,45-60 days,0.5-1ft,0.5-1ft,Partial Sun-Full Sun,Moderate,Moderate,Moderate,Low,Frost Tolerant,Low,Low,High,No,No,,,1,"head/plant, or continuous leaves",Short,No (Self-pollinating),Grows best in cooler weather.,,[1;1;1;1;1;1;1;1]
,Lima Bean,Henderson Bush Lima,Phaseolus lunatus,Fabaceae,Annual,Bush,Heirloom,,General,,Medium,3-4 years,65,85,75,45856,Darkness,No,No,1in,4-6in,4,6,Yes,"No, direct seed preferred",,,,65-75 days,1-2ft,1-2ft,Full Sun,Moderate,Low,High,High,Frost Tender,High,Moderate,Low,No,Medium,,,0.5-1,lb/plant,"Short (fresh), Long (dried)",No (Self-pollinating),Heat-loving bean.,[0.25;0.25]
,Long Squash,"Winter Melon, Ash Gourd",Benincasa hispida,Cucurbitaceae,Annual,Vining,Open-pollinated,,Asian Seed Suppliers,,Large,5-7 years,70,90,80,45852,Darkness,No,No,0.5-1in,36-60in,36,60,Yes,"Yes, with care",28,42,90-120 days,10-20ft,5-10ft,Full Sun,Moderate-High,Moderate,Moderate,Moderate,Frost Tender,High,High,Low,"Yes, sturdy trellis",Yes (pruning optional),,,45660,fruits/plant,Very Long (months),Yes (bees required),Has a waxy coating when mature which helps it store for months.,,[2;3;3;2;1]
,Lovage,,Levisticum officinale,Apiaceae,Perennial,Upright,Heirloom,,General,,Medium,1-2 years,60,70,65,45951,Darkness,No,No,0.5in,18-24in,18,24,No,Yes,42,56,90-120 days,3-6ft,2-3ft,Full Sun-Partial Sun,Moderate-High,Moderate,High,High,Frost Tolerant,Moderate,Moderate,Low,No,Yes (cut back),,,Continuous,leaves/stalks,Short,No (Self-pollinating),Strong celery-like flavor. A large plant.,,[0.5;0.5;0.5;0.5]
,Luffa Gourd,"Smooth Luffa, Angled Luffa","Luffa aegyptiaca, Luffa acutangula",Cucurbitaceae,Annual,Vining,Open-pollinated,,Asian Seed Suppliers,,Large,3-5 years,75,90,85,45852,Darkness,No,No,0.5-1in,24-36in,24,36,Yes,"Yes, with care",28,42,90-120 days,10-20ft,3-6ft,Full Sun,High,Moderate,Moderate,Moderate,Frost Tender,High,High,Low,"Yes, sturdy trellis",Yes (prune lateral vines),,,45792,fruits/plant,"Short (edible), Very Long (dried sponge)",Yes (bees required),Harvest young for eating or let mature and dry on the vine for sponges.,,[1;2;3;3;2;1]
,Malabar Spinach,"Basella alba (green), Basella rubra (red)","Basella alba, Basella rubra",Basellaceae,Perennial (grown as annual),Vining,Open-pollinated,,General,,Small,2-3 years,70,90,80,14-21,Darkness,No,No,0.25-0.5in,6-12in,6,12,Yes,Yes,21,28,60-70 days,6-10ft,2-4ft,Full Sun-Partial Shade,High,Low-Moderate,High,High,Frost Tender,Very High,Moderate,Low,"Yes, trellis required",Yes (pinch tips),,,Continuous,leaves/stems,Short,No (Self-pollinating),Not a true spinach; heat-loving vine.,,[0.25;0.5;0.5;0.5;0.5;0.5;0.25]
,Manganji Togarashi,,Capsicum annuum,Solanaceae,Annual,Bush,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Medium,2-4 years,70,85,80,45951,Darkness,No,No,0.25in,18-24in,18,24,"No, transplant recommended",Yes,42,56,70-90 days,2-3ft,1.5-2ft,Full Sun,Moderate,Moderate,High,High,Frost Tender,High,Moderate,Low,No,"Yes, for heavy fruiting",,,10-20+,peppers/plant,Medium,No (Self-pollinating),A long, sweet,[5;7;7;5]
,Melon,Cantaloupe,Cucumis melo,Cucurbitaceae,Annual,Vining,"Open-pollinated, Hybrid",,General,,Large,3-5 years,75,90,85,45759,Darkness,No,No,0.5-1in,36-48in,36,48,Yes,"Yes, with care",21,28,80-100 days,1-2ft,8-15ft,Full Sun,High,High,Low,Low,Frost Tender,High,High,Low,No,No,,,45692,fruits/plant,Short,Yes (bees required),Harvest when the melon slips easily from the vine.,,[1;2;1]
,Mibuna,,Brassica rapa var. laciniata,Brassicaceae,Annual,Upright,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,3-5 years,40,75,65,45757,Darkness,No,No,0.25-0.5in,4-6in,4,6,Yes,"Yes, with care",14,21,20-40 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,Yes (cut-and-come-again),,,Continuous,leaves,Short,No (Self-pollinating),Similar to mizuna but with long, spoon-shaped leaves.,[0.25;0.3;0.3;0.2]
,Mint,Peppermint,Mentha piperita,Lamiaceae,Perennial,Sprawling,Heirloom,,General,,Tiny,1-2 years,60,75,70,45946,Light,No,No,0.25in,12-24in,12,24,Yes,Yes,28,42,60-90 days,1-2ft,1-3ft,Full Sun-Partial Shade,Moderate,Moderate,High,High,Frost Tolerant,High,Moderate,Low,No,Yes (pruning),,,Continuous,sprigs,Short,No (Sterile Hybrid - Use cuttings),Spreads aggressively via runners; best grown in a container.,,[0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5]
,Mitsuba,Japanese Wild Parsley,Cryptotaenia japonica,Apiaceae,Perennial,Clumping,Heirloom,,Asian Seed Suppliers,,Small,2-3 years,50,70,60,14-21,Darkness,No,No,0.25in,6-12in,6,12,Yes,Yes,28,42,60-90 days,1-2ft,0.5-1ft,Partial Shade,High,Low,Moderate,Moderate,Frost Tolerant,Low,Low,Medium,No,No,,,Continuous,stems/leaves,Short,No (Self-pollinating),Flavor is a mix of celery and parsley. Best in shade.,,[0.25;0.25;0.25]
,Mizuna,,Brassica rapa var. nipposinica,Brassicaceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Small,3-5 years,40,75,65,45757,Darkness,No,No,0.25-0.5in,4-6in,4,6,Yes,"Yes, with care",14,21,20-40 days,0.5-1ft,0.5-1ft,Partial Sun-Full Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,Yes (cut-and-come-again),,,Continuous,leaves,Short,No (Self-pollinating),Very cold tolerant and fast-growing.,,[0.15;0.2;0.2;0.15]
,Mustard Cabbage (Gai Choy),Giant Red Mustard,Brassica juncea var. rugosa,Brassicaceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Small,3-5 years,45,75,65,45757,Darkness,No,No,0.25-0.5in,6-12in,6,12,Yes,"Yes, with care",14,21,40-60 days,1-2ft,1-1.5ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Moderate,Moderate,High,No,Yes (harvest outer leaves),,,Continuous,leaves,Short,No (Self-pollinating),Large, pungent leaves often used in pickles or stir-fries.,[1.5]
,Mustard Greens,,Brassica juncea,Brassicaceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Small,3-5 years,45,75,65,45754,Darkness,No,No,0.25-0.5in,4-6in,4,6,Yes,"Yes, with care",14,21,30-50 days,1-2ft,1-1.5ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Moderate,Moderate,High,No,No,,,Continuous,leaves,Short,No (Self-pollinating),Will bolt in hot weather.,,[0.15;0.25;0.25;0.15]
,Nagaimo,"Chinese Yam, Japanese Mountain Yam",Dioscorea polystachya,Dioscoreaceae,Perennial,Vining (tuber grows down),Heirloom,,Asian Seed Suppliers,,"Tuber, Seed",N/A,60,80,70,N/A,N/A,No,No,4-6in,12-18in,12,18,"No, from tuber",Yes (tuber),,,,180-240 days,5-10ft,1-2ft,Full Sun-Partial Sun,Moderate,Low-Moderate,High,High,Frost Tolerant,Moderate,High,Low,"Yes, for vine",Single harvest (Fall),,,45660,lbs/plant,Long,Yes (insect pollinated),Produces a long,0
,Napa Cabbage,,Brassica rapa subsp. pekinensis,Brassicaceae,Annual,"Upright, Heading",Open-pollinated/Hybrid,,Asian Seed Suppliers,,Small,3-5 years,50,80,70,45852,Darkness,No,No,0.25-0.5in,12-18in,12,18,Yes,Yes,28,35,50-80 days,1-1.5ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,No,,,1,head/plant,Medium,No (Self-pollinating),Best grown in cool spring or fall weather.,,0
,Nasturtium,Jewel Mix,Tropaeolum majus,Tropaeolaceae,Annual (tender perennial),"Bush, Vining",Heirloom,,General,,Large,3-5 years,60,75,65,45944,Darkness,No,No,0.5in,"6-12in (bush), 12-24in (vining)",6,24,Yes,"Yes, with care",14,21,30-50 days,"0.5-1ft (bush), 3-6ft+ (vining)","1-2ft (bush), 2-4ft (vining)",Full Sun-Partial Sun,Low-Moderate,Low,High,High,Frost Tender,Moderate,High,Low,"No (bush), Yes (vining)",Yes (deadheading),,,Continuous,flowers/leaves,Short,No (Self-pollinating),Edible flowers and leaves with a peppery taste.,,[10;15;15;10]
,New Zealand Spinach,,Tetragonia tetragonioides,Aizoaceae,"Annual, Perennial",Sprawling,Open-pollinated,,General,,Medium,3-5 years,60,80,70,14-28,Darkness,No,Yes (soaking),0.5in,12-18in,12,18,Yes,Yes,28,42,50-70 days,0.5-1ft,2-4ft,Full Sun-Partial Shade,Moderate,Low,High,Moderate,Light Frost Tolerant,High,High,Low,No,Yes (pinch tips),,,Continuous,"leaves, young stems",Short,No (Self-pollinating),Leaves have a slightly salty, earthy flavor.,[0.25;0.4;0.4;0.4;0.4;0.4;0.25]
,Oca,New Zealand Yam,Oxalis tuberosa,Oxalidaceae,Perennial,Bush,Heirloom,,Specialty Nurseries,,Tuber,N/A,50,70,60,N/A,N/A,No,No,2-3in,12-18in,12,18,"No, from tuber",Yes (tuber),,,,150-180 days,0.5-1ft,1-2ft,Full Sun-Partial Sun,Moderate,Low,Moderate,Moderate,Frost Tender,Moderate,Moderate,Low,No,Single harvest (Fall),,,45659,lbs/plant,Long,No (Asexual reproduction),Tubers form in response to short day length in the fall.,0
,Okinawan Sweet Potato,Beni Imo,Ipomoea batatas,Convolvulaceae,Perennial (grown as annual),Vining,Heirloom,,Specialty Nurseries,,"Slips, Root Cuttings",N/A,70,95,85,N/A,N/A,No,No,4-6in (slips),12-18in,12,18,"No, from slips",Yes (slips),,,,90-120 days,0.5ft,3-10ft+,Full Sun,Moderate,Moderate,High,High,Frost Tender,Very High,High,Low,No,Single harvest,,,45726,lbs/plant,Long,No (Asexual reproduction),Famous for its vibrant purple flesh.,0
,Okra,,Abelmoschus esculentus,Malvaceae,Annual,Upright,"Open-pollinated, Heirloom",,General,,Medium,3-4 years,70,95,85,45852,Darkness,No,Yes (soaking),0.5-1in,12-18in,12,18,Yes,Yes,28,42,50-60 days,3-6ft,1-2ft,Full Sun,Moderate,Moderate,High,High,Frost Tender,Very High,High,Low,No,Yes (topping optional),,,20-50,pods/plant,Short,No (Self-pollinating),Harvest pods when 2-4 inches long for tenderness.,,[0.5;1;1.5;1.5;1;0.5]
,Onion (Bulbing),Short-Day varieties,Allium cepa,Amaryllidaceae,Biennial (grown as annual),Bulb,"Open-pollinated, Hybrid",,General,,"Small (seed), Bulbs (sets)",1-2 years (seed),50,75,65,45852,Darkness,No,No,0.25-0.5in (seed),4-6in,4,6,Yes (seed),"Yes (sets, transplants)",56,70,90-120 days,1-2ft,0.5-1ft,Full Sun,Moderate,Moderate,Low,Low,Frost Tolerant,Moderate,Moderate,Low,No,No,,,1,bulb/plant,Long,Yes (bees, for seed saving),Planting sets is easiest for beginners.,0
,Opo Squash,,Lagenaria siceraria,Cucurbitaceae,Annual,Vining,Open-pollinated,,Asian Seed Suppliers,,Large,5-7 years,70,90,80,45852,Darkness,No,No,1in,36-48in,36,48,Yes,"Yes, with care",28,42,70-90 days,10-20ft,5-10ft,Full Sun,Moderate-High,Moderate,Moderate,Moderate,Frost Tender,High,High,Low,"Yes, sturdy trellis",Yes (pruning optional),,,45792,fruits/plant,Short-Medium,Yes (night-pollinating moths/bees),Harvest when young and tender.,,[1;2;2;1]
,Orach,Red Orach,Atriplex hortensis,Amaranthaceae,Annual,Upright,Heirloom,,General,,Medium,3-4 years,50,70,60,45852,Darkness,No,No,0.5in,8-12in,8,12,Yes,Yes,21,28,40-60 days,3-6ft,1-2ft,Full Sun-Partial Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,Moderate,High,No,Yes (pinching),,,Continuous,leaves,Short,No (Self-pollinating),A heat-tolerant spinach substitute.,,[0.25;0.5;0.5;0.25]
,Oregano,Greek Oregano,Origanum vulgare,Lamiaceae,Perennial,"Bush, Sprawling",Heirloom,,General,,Tiny,2-3 years,60,75,70,14-21,Light,No,No,Surface,12-18in,12,18,Yes,Yes,28,42,60-90 days,1-2ft,1.5-2.5ft,Full Sun,Low,Low,High,High,Frost Tolerant,Very High,Very High,Low,No,Yes (pruning),,,Continuous,sprigs,Long (dried),Yes (bees, for seed saving),Spreads readily.,[0.25;0.25;0.25;0.25;0.25;0.25]
,Parsnip,Hollow Crown,Pastinaca sativa,Apiaceae,Biennial (grown as annual),Root,Heirloom,,General,,Medium,1-2 years,50,70,60,14-28,Darkness,No,No,0.5in,3-6in,3,6,Yes,"No, direct seed preferred",,,,100-130 days,1-2ft,0.5-1ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,Moderate,Low,No,Single harvest (Fall/Winter),,,1,root/plant,Long,No (Self-pollinating),Flavor improves after frost. Seeds have short viability.,0
,Peanut,Virginia Peanut,Arachis hypogaea,Fabaceae,Annual,"Bush, Sprawling",Open-pollinated,,General,,Medium,2-3 years,65,85,75,45852,Darkness,No,No,1-2in,6-12in,6,12,Yes,"No, direct seed preferred",,,,120-150 days,1-2ft,1-2ft,Full Sun,Moderate,Low,High,High,Frost Tender,Very High,High,Low,No,Single harvest,,,20-50,pods/plant,Long,No (Self-pollinating),Requires a long,[1.5]
